pair_index,source,entity,remap_id,org_id,dimension,learned_initial_variance
37416,injected_noise_edges,item,4619,B08P3DN3T7,11,0.6489852070808411
37416,injected_noise_edges,item,4619,B08P3DN3T7,12,0.6606553196907043
37416,injected_noise_edges,item,4619,B08P3DN3T7,13,0.6731250286102295
37416,injected_noise_edges,item,4619,B08P3DN3T7,14,0.7831101417541504
37416,injected_noise_edges,item,4619,B08P3DN3T7,15,0.6434279084205627
37416,injected_noise_edges,item,4619,B08P3DN3T7,16,0.7311965227127075
37416,injected_noise_edges,item,4619,B08P3DN3T7,17,0.6416658163070679
37416,injected_noise_edges,item,4619,B08P3DN3T7,18,0.6491392850875854
37416,injected_noise_edges,item,4619,B08P3DN3T7,19,0.6525964140892029
37416,injected_noise_edges,item,4619,B08P3DN3T7,20,0.6364580392837524
37416,injected_noise_edges,item,4619,B08P3DN3T7,21,0.6580782532691956
37416,injected_noise_edges,item,4619,B08P3DN3T7,22,0.640666127204895
37416,injected_noise_edges,item,4619,B08P3DN3T7,23,0.6421955227851868
37416,injected_noise_edges,item,4619,B08P3DN3T7,24,0.6615762114524841
37416,injected_noise_edges,item,4619,B08P3DN3T7,25,0.6710786819458008
37416,injected_noise_edges,item,4619,B08P3DN3T7,26,0.6308979392051697
37416,injected_noise_edges,item,4619,B08P3DN3T7,27,0.651114821434021
37416,injected_noise_edges,item,4619,B08P3DN3T7,28,0.656883955001831
37416,injected_noise_edges,item,4619,B08P3DN3T7,29,0.6408935189247131
37416,injected_noise_edges,item,4619,B08P3DN3T7,30,0.6401244401931763
37416,injected_noise_edges,item,4619,B08P3DN3T7,31,0.6385733485221863
37416,injected_noise_edges,item,4619,B08P3DN3T7,32,0.6417503356933594
37416,injected_noise_edges,item,4619,B08P3DN3T7,33,0.6737182140350342
37416,injected_noise_edges,item,4619,B08P3DN3T7,34,0.6529937386512756
37416,injected_noise_edges,item,4619,B08P3DN3T7,35,0.6881563067436218
37416,injected_noise_edges,item,4619,B08P3DN3T7,36,0.6779381036758423
37416,injected_noise_edges,item,4619,B08P3DN3T7,37,0.6432564854621887
37416,injected_noise_edges,item,4619,B08P3DN3T7,38,0.6414912939071655
37416,injected_noise_edges,item,4619,B08P3DN3T7,39,0.6609377861022949
37416,injected_noise_edges,item,4619,B08P3DN3T7,40,0.6388513445854187
37416,injected_noise_edges,item,4619,B08P3DN3T7,41,0.650413990020752
37416,injected_noise_edges,item,4619,B08P3DN3T7,42,0.638295590877533
37416,injected_noise_edges,item,4619,B08P3DN3T7,43,0.6419301629066467
37416,injected_noise_edges,item,4619,B08P3DN3T7,44,0.6459519267082214
37416,injected_noise_edges,item,4619,B08P3DN3T7,45,0.6347012519836426
37416,injected_noise_edges,item,4619,B08P3DN3T7,46,0.6377865672111511
37416,injected_noise_edges,item,4619,B08P3DN3T7,47,0.641164243221283
37416,injected_noise_edges,item,4619,B08P3DN3T7,48,0.6420484781265259
37416,injected_noise_edges,item,4619,B08P3DN3T7,49,0.647239625453949
37416,injected_noise_edges,item,4619,B08P3DN3T7,50,0.64066481590271
37416,injected_noise_edges,item,4619,B08P3DN3T7,51,0.6588497161865234
37416,injected_noise_edges,item,4619,B08P3DN3T7,52,0.6666032075881958
37416,injected_noise_edges,item,4619,B08P3DN3T7,53,0.7065192461013794
37416,injected_noise_edges,item,4619,B08P3DN3T7,54,0.6487681269645691
37416,injected_noise_edges,item,4619,B08P3DN3T7,55,0.6459470391273499
37416,injected_noise_edges,item,4619,B08P3DN3T7,56,0.6368215680122375
37416,injected_noise_edges,item,4619,B08P3DN3T7,57,0.666645348072052
37416,injected_noise_edges,item,4619,B08P3DN3T7,58,0.6620596051216125
37416,injected_noise_edges,item,4619,B08P3DN3T7,59,0.6373603940010071
37416,injected_noise_edges,item,4619,B08P3DN3T7,60,0.7065593600273132
37416,injected_noise_edges,item,4619,B08P3DN3T7,61,0.6468601226806641
37416,injected_noise_edges,item,4619,B08P3DN3T7,62,0.6693219542503357
37416,injected_noise_edges,item,4619,B08P3DN3T7,63,0.6710092425346375
