noise_ratio,edge_type,predictive_uncertainty
0.1,clean,0.9300217628479004
0.1,clean,1.026139736175537
0.1,clean,1.233396291732788
0.1,clean,1.1641113758087158
0.1,clean,1.1692086458206177
0.1,clean,1.0795679092407227
0.1,clean,1.2660274505615234
0.1,clean,0.9105510711669922
0.1,clean,0.935055136680603
0.1,clean,1.1527587175369263
0.1,clean,2.0078325271606445
0.1,clean,1.150646448135376
0.1,clean,1.572094202041626
0.1,clean,1.0531346797943115
0.1,clean,0.9926366209983826
0.1,clean,1.4946074485778809
0.1,clean,1.383987307548523
0.1,clean,1.5255554914474487
0.1,clean,1.4959745407104492
0.1,clean,1.050370454788208
0.1,clean,1.1353096961975098
0.1,clean,0.9382662773132324
0.1,clean,1.1940234899520874
0.1,clean,0.9332923889160156
0.1,clean,0.9843637943267822
0.1,clean,0.9969006180763245
0.1,clean,1.0397212505340576
0.1,clean,1.4420783519744873
0.1,clean,1.8768798112869263
0.1,clean,0.9653620719909668
0.1,clean,0.9671556949615479
0.1,clean,1.458836317062378
0.1,clean,0.9865005612373352
0.1,clean,0.9895950555801392
0.1,clean,1.0911943912506104
0.1,clean,1.0867586135864258
0.1,clean,0.9864095449447632
0.1,clean,0.9332854747772217
0.1,clean,1.6046199798583984
0.1,clean,1.1780558824539185
0.1,clean,1.4220703840255737
0.1,clean,0.947263240814209
0.1,clean,1.7907111644744873
0.1,clean,1.3193480968475342
0.1,clean,0.9469873309135437
0.1,clean,1.583837866783142
0.1,clean,1.15806245803833
0.1,clean,1.2271761894226074
0.1,clean,2.166698932647705
0.1,clean,1.3221536874771118
0.1,clean,1.079766035079956
0.1,clean,1.0269956588745117
0.1,clean,1.0917843580245972
0.1,clean,0.9138522148132324
0.1,clean,1.5994226932525635
0.1,clean,2.0421760082244873
0.1,clean,1.376291275024414
0.1,clean,0.9302722215652466
0.1,clean,1.5641494989395142
0.1,clean,1.1685899496078491
0.1,clean,1.3180174827575684
0.1,clean,1.0297369956970215
0.1,clean,1.3258024454116821
0.1,clean,1.5213184356689453
0.1,clean,1.2206652164459229
0.1,clean,1.548788070678711
0.1,clean,1.0264482498168945
0.1,clean,1.219388723373413
0.1,clean,1.699995994567871
0.1,clean,1.884542465209961
0.1,clean,0.9882688522338867
0.1,clean,1.0412070751190186
0.1,clean,0.8602218627929688
0.1,clean,1.3421564102172852
0.1,clean,0.9310276508331299
0.1,clean,1.0748531818389893
0.1,clean,0.9409867525100708
0.1,clean,1.6838995218276978
0.1,clean,1.2044975757598877
0.1,clean,1.2929781675338745
0.1,clean,0.9458772540092468
0.1,clean,0.9246007800102234
0.1,clean,1.0597609281539917
0.1,clean,0.9669076204299927
0.1,clean,1.3793318271636963
0.1,clean,1.2013030052185059
0.1,clean,1.181255578994751
0.1,clean,1.4717636108398438
0.1,clean,1.0806727409362793
0.1,clean,1.2405747175216675
0.1,clean,1.7228524684906006
0.1,clean,1.1871687173843384
0.1,clean,0.992794394493103
0.1,clean,0.936133861541748
0.1,clean,1.2646260261535645
0.1,clean,1.1843504905700684
0.1,clean,1.1872448921203613
0.1,clean,1.1496257781982422
0.1,clean,1.088120698928833
0.1,clean,1.1198387145996094
0.1,clean,1.545432686805725
0.1,clean,0.993830144405365
0.1,clean,0.899782657623291
0.1,clean,1.1573503017425537
0.1,clean,1.240735650062561
0.1,clean,1.101859211921692
0.1,clean,1.0823986530303955
0.1,clean,0.9947080612182617
0.1,clean,1.413426399230957
0.1,clean,1.0402945280075073
0.1,clean,1.2003580331802368
0.1,clean,0.8929530382156372
0.1,clean,1.1840641498565674
0.1,clean,0.8253000974655151
0.1,clean,1.0248647928237915
0.1,clean,0.9221907258033752
0.1,clean,0.9519526362419128
0.1,clean,0.992100715637207
0.1,clean,1.0569922924041748
0.1,clean,1.1969207525253296
0.1,clean,1.0023261308670044
0.1,clean,1.78047513961792
0.1,clean,1.0301964282989502
0.1,clean,1.8007537126541138
0.1,clean,0.8724406957626343
0.1,clean,2.0298798084259033
0.1,clean,1.1466695070266724
0.1,clean,1.7495231628417969
0.1,clean,0.925533652305603
0.1,clean,0.9172666668891907
0.1,clean,1.0499138832092285
0.1,clean,1.001879096031189
0.1,clean,1.1574678421020508
0.1,clean,1.0718848705291748
0.1,clean,1.184411883354187
0.1,clean,1.288204550743103
0.1,clean,1.1214191913604736
0.1,clean,1.7896015644073486
0.1,clean,0.9976862668991089
0.1,clean,1.3681472539901733
0.1,clean,0.8692690134048462
0.1,clean,1.2545371055603027
0.1,clean,1.774322748184204
0.1,clean,1.007706642150879
0.1,clean,0.8782414197921753
0.1,clean,1.4743483066558838
0.1,clean,1.1961884498596191
0.1,clean,0.8973249197006226
0.1,clean,0.9749673008918762
0.1,clean,0.9780749082565308
0.1,clean,1.1155864000320435
0.1,clean,1.1380339860916138
0.1,clean,1.7815974950790405
0.1,clean,1.0933258533477783
0.1,clean,0.9614304304122925
0.1,clean,0.9721825122833252
0.1,clean,1.3759161233901978
0.1,clean,0.9180673360824585
0.1,clean,1.5951875448226929
0.1,clean,1.7824304103851318
0.1,clean,1.4540247917175293
0.1,clean,0.9282681345939636
0.1,clean,1.894674301147461
0.1,clean,1.097804069519043
0.1,clean,1.8414562940597534
0.1,clean,1.336282730102539
0.1,clean,1.2889020442962646
0.1,clean,1.5761096477508545
0.1,clean,1.7680948972702026
0.1,clean,1.1205461025238037
0.1,clean,1.000902533531189
0.1,clean,1.1768741607666016
0.1,clean,1.3258346319198608
0.1,clean,1.2503538131713867
0.1,clean,1.787196397781372
0.1,clean,0.8940855264663696
0.1,clean,1.0498816967010498
0.1,clean,1.2201015949249268
0.1,clean,1.1855120658874512
0.1,clean,0.9953578114509583
0.1,clean,0.9192699790000916
0.1,clean,1.0936875343322754
0.1,clean,0.9719823002815247
0.1,clean,1.0642540454864502
0.1,clean,1.3563802242279053
0.1,clean,1.5089833736419678
